TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-04-11,2025-04-11,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5179.8,5179.8,5058.05,5140.85,5140.85,5034.55,,5143.3,,,5842,29871108.0,1696,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,782.2,788.85,752.2,756.5,756.5,772.4,,755.8,,,61900,47530168.0,2596,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,998.3,1003.9,973.45,975.35,975.35,968.4,,975.55,,,31818,31168906.0,1554,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,41.99,41.99,37.22,37.65,37.65,36.72,,37.65,,,80794,3143408.0,491,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,52.24,52.24,51.0,51.89,51.89,51.26,,51.89,,,24633,1273299.0,259,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.26,4.26,4.2,4.26,4.26,4.18,,4.18,,,71134,302874.0,110,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.67,4.98,4.5,4.64,4.81,4.53,,4.64,,,48076,226742.0,134,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.55,11.55,10.5,10.72,10.72,10.62,,10.72,,,26411,296349.0,84,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,127.65,128.15,125.95,126.8,126.8,123.85,,126.9,,,55848,7091791.0,861,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,373.4,373.4,363.2,363.2,363.2,355.7,,370.15,,,17,6327.0,2,F1,1,,,,,,2025-04-11
