Ticker,ML_Prediction,ML_Confidence
ATGL.NS,STRONG BUY,0.6
BPCL.NS,HOLD / SELL,0.3933
CARTRADE.NS,STRONG BUY,0.52
GATECH.NS,HOLD / SELL,0.1733
GATECHDVR.NS,HOLD / SELL,0.4133
HITECHCORP.NS,STRONG BUY,0.94
IFBAGRO.NS,STRONG BUY,0.5867
JASH.NS,STRONG BUY,0.56
LALPATHLAB.NS,HOLD / SELL,0.4867
LTTS.NS,STRONG BUY,0.5867
MAHAPEXLTD.NS,HOLD / SELL,0.4133
RAMKY.NS,STRONG BUY,0.5667
RELINFRA.NS,HOLD / SELL,0.34
SARLAPOLY.NS,HOLD / SELL,0.4333
STARHEALTH.NS,STRONG BUY,0.5867
TEJASNET.NS,HOLD / SELL,0.2867
UNIVASTU.NS,STRONG BUY,0.5733
URAVIDEF.NS,HOLD / SELL,0.2667
VISAKAIND.NS,STRONG BUY,0.7
WHEELS.NS,HOLD / SELL,0.4333
