Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-27,532744,GTN TEXTILES LTD.,8.88,8.88,8.02,8.55,15975,131931.0,,8.55,,,,0.0,,True
2025-03-28,532744,GTN TEXTILES LTD.,8.26,8.79,8.13,8.14,3759,31052.0,,8.334750000000001,,,,0.0,,False
2025-04-01,532744,GTN TEXTILES LTD.,8.14,8.86,8.14,8.76,318,2632.0,,8.49089925062448,,,,0.0,,True
2025-04-02,532744,GTN TEXTILES LTD.,9.48,9.48,8.8,8.96,595,5311.0,,8.626321384039901,,,,0.0,,True
2025-04-03,532744,GTN TEXTILES LTD.,8.95,9.13,8.27,8.69,1681,14870.0,,8.641724699347389,,,,0.0,,False
2025-04-04,532744,GTN TEXTILES LTD.,8.02,9.47,8.02,8.93,1788,16149.0,,8.702537620118058,,,,0.0,,True
2025-04-07,532744,GTN TEXTILES LTD.,9.11,9.11,8.02,8.78,516,4501.0,,8.717183838819599,,,,0.0,,True
2025-04-08,532744,GTN TEXTILES LTD.,8.74,8.98,8.21,8.65,3873,33177.0,,8.70557077469495,,,,0.0,,True
2025-04-09,532744,GTN TEXTILES LTD.,8.88,8.88,8.87,8.87,260,2307.0,,8.731946026453592,,,,0.0,,True
2025-04-11,532744,GTN TEXTILES LTD.,8.87,8.87,8.79,8.83,460,4069.0,,8.74671210524826,,,,0.0,,False
2025-04-15,532744,GTN TEXTILES LTD.,8.91,9.6,8.5,9.07,3085,27029.0,,8.792842968234902,,,,0.0,,False
2025-04-16,532744,GTN TEXTILES LTD.,9.63,9.64,8.63,8.86,2264,20103.0,,8.801991646748842,,,,0.0,,False
2025-04-17,532744,GTN TEXTILES LTD.,8.86,9.58,8.86,8.96,1491,13744.0,,8.822669256681722,,,,0.0,,False
2025-04-21,532744,GTN TEXTILES LTD.,8.96,9.57,8.86,9.0,632,5744.0,,8.845077169603101,58.646551603245605,,,0.0,,False
2025-04-22,532744,GTN TEXTILES LTD.,9.48,9.88,9.39,9.49,3473,32748.0,,8.924111205788902,68.57709364812465,,,0.0,,False
