Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,544348,GB Logistics Commerce Limited,36.0,37.6,35.92,35.92,54000,1963752.0
2025-03-28,544348,GB Logistics Commerce Limited,36.25,36.25,34.13,34.25,40800,1420896.0
2025-04-01,544348,GB Logistics Commerce Limited,34.0,34.6,34.0,34.5,7200,247920.0
2025-04-02,544348,GB Logistics Commerce Limited,35.0,35.0,34.89,34.98,6000,209664.0
2025-04-03,544348,GB Logistics Commerce Limited,35.02,36.31,34.98,36.31,10800,386052.0
2025-04-04,544348,GB Logistics Commerce Limited,35.05,35.05,35.05,35.05,1200,42060.0
2025-04-07,544348,GB Logistics Commerce Limited,33.35,36.8,33.3,36.8,46800,1649280.0
2025-04-08,544348,GB Logistics Commerce Limited,36.8,36.8,34.96,35.99,14400,510984.0
2025-04-09,544348,GB Logistics Commerce Limited,35.99,35.99,35.05,35.05,2400,85248.0
2025-04-11,544348,GB Logistics Commerce Limited,35.35,35.35,35.25,35.25,2400,84720.0
2025-04-15,544348,GB Logistics Commerce Limited,37.01,37.01,36.21,36.22,10800,396756.0
2025-04-16,544348,GB Logistics Commerce Limited,36.22,38.03,36.22,38.03,20400,770028.0
2025-04-17,544348,GB Logistics Commerce Limited,39.93,39.93,39.92,39.93,13200,527064.0
2025-04-21,544348,GB Logistics Commerce Limited,41.92,41.92,41.05,41.92,21600,903792.0
2025-04-22,544348,GB Logistics Commerce Limited,40.5,42.98,40.1,42.9,10800,446604.0
2025-04-23,544348,GB Logistics Commerce Limited,42.05,42.05,42.05,42.05,8400,353220.0
2025-04-24,544348,GB Logistics Commerce Limited,41.21,42.05,41.21,42.05,27600,1159572.0
2025-04-25,544348,GB Logistics Commerce Limited,41.21,42.88,41.21,42.88,28800,1218816.0
2025-04-28,544348,GB Logistics Commerce Limited,43.7,43.7,43.7,43.7,7200,314640.0
2025-04-29,544348,GB Logistics Commerce Limited,43.0,44.49,43.0,44.49,13200,583716.0
2025-04-30,544348,GB Logistics Commerce Limited,45.36,45.36,45.05,45.05,15600,707172.0
2025-05-02,544348,GB Logistics Commerce Limited,44.18,45.95,44.18,45.95,20400,934716.0
2025-05-05,544348,GB Logistics Commerce Limited,45.04,45.04,45.04,45.04,4800,216192.0
2025-05-06,544348,GB Logistics Commerce Limited,44.14,45.7,44.14,45.7,60000,2659632.0
2025-05-07,544348,GB Logistics Commerce Limited,46.5,46.5,46.5,46.5,19200,892800.0
2025-05-08,544348,GB Logistics Commerce Limited,47.43,47.43,46.12,47.43,15600,738336.0
2025-05-09,544348,GB Logistics Commerce Limited,48.37,48.37,48.37,48.37,24000,1160880.0
2025-05-12,544348,GB Logistics Commerce Limited,47.41,49.33,47.41,49.33,8400,410916.0
2025-05-13,544348,GB Logistics Commerce Limited,49.33,50.3,49.33,50.3,6000,298308.0
2025-05-14,544348,GB Logistics Commerce Limited,50.99,50.99,49.3,49.3,16800,850548.0
2025-05-15,544348,GB Logistics Commerce Limited,48.33,50.28,48.33,50.28,25200,1262376.0
2025-05-16,544348,GB Logistics Commerce Limited,49.28,49.28,49.28,49.28,4800,236544.0
2025-05-19,544348,GB Logistics Commerce Limited,48.3,48.3,48.3,48.3,4800,231840.0
2025-05-20,544348,GB Logistics Commerce Limited,47.34,47.34,47.34,47.34,49200,2329128.0
2025-05-21,544348,GB Logistics Commerce Limited,46.4,46.4,46.4,46.4,3600,167040.0
2025-05-22,544348,GB Logistics Commerce Limited,45.48,45.48,45.48,45.48,2400,109152.0
2025-05-23,544348,GB Logistics Commerce Limited,44.58,44.58,44.58,44.58,12000,534960.0
2025-05-26,544348,GB Logistics Commerce Limited,43.69,43.69,43.69,43.69,1200,52428.0
2025-05-27,544348,GB Logistics Commerce Limited,42.82,42.82,42.82,42.82,10800,462456.0
2025-05-28,544348,GB Logistics Commerce Limited,42.0,42.0,41.97,41.97,54000,2267208.0
2025-05-29,544348,GB Logistics Commerce Limited,41.14,42.15,41.14,41.94,56400,2334588.0
2025-05-30,544348,GB Logistics Commerce Limited,41.13,41.22,41.13,41.22,25200,1036944.0
2025-06-02,544348,GB Logistics Commerce Limited,43.28,43.28,43.28,43.28,36000,1558080.0
2025-06-03,544348,GB Logistics Commerce Limited,45.44,45.44,45.44,45.44,6000,272640.0
2025-06-04,544348,GB Logistics Commerce Limited,47.71,47.71,47.71,47.71,6000,286260.0
2025-06-05,544348,GB Logistics Commerce Limited,50.09,50.09,50.09,50.09,13200,661188.0
2025-06-06,544348,GB Logistics Commerce Limited,52.59,52.59,47.59,47.68,79200,3941052.0
2025-06-09,544348,GB Logistics Commerce Limited,49.0,49.47,47.75,48.58,12000,578556.0
2025-06-10,544348,GB Logistics Commerce Limited,48.93,48.94,46.75,47.67,18000,861780.0
2025-06-11,544348,GB Logistics Commerce Limited,46.0,49.45,46.0,48.0,19200,928512.0
2025-06-12,544348,GB Logistics Commerce Limited,47.9,47.9,46.5,46.64,3600,169248.0
2025-06-13,544348,GB Logistics Commerce Limited,46.63,46.64,44.31,44.55,13200,597108.0
2025-06-16,544348,GB Logistics Commerce Limited,46.75,46.75,44.77,44.78,9600,440280.0
2025-06-18,544348,GB Logistics Commerce Limited,44.85,44.85,44.85,44.85,1200,53820.0
2025-06-19,544348,GB Logistics Commerce Limited,44.85,44.85,44.85,44.85,6000,269100.0
2025-06-20,544348,GB Logistics Commerce Limited,44.85,44.85,44.85,44.85,1200,53820.0
2025-06-23,544348,GB Logistics Commerce Limited,44.6,47.0,43.11,43.11,46800,2118576.0
2025-06-24,544348,GB Logistics Commerce Limited,44.7,45.26,44.7,45.0,9600,432636.0
2025-06-25,544348,GB Logistics Commerce Limited,45.0,47.25,43.75,47.25,36000,1669920.0
2025-06-26,544348,GB Logistics Commerce Limited,49.47,49.61,48.01,49.36,38400,1898448.0
