"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"VCL","Vaxtex Cotfab Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","VAXTEX COTFAB LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","05-Jun-2025 18:23:13","2025-06-05 18:23:13","05-Jun-2025 18:23:15","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57635_1463445_05062025062313_WEB.xml","6 KB"
"KIMS","Krishna Institute of Medical Sciences Limited","General Updates","Krishna Institute of Medical Sciences Limited has informed the Exchange about General Updates","05-Jun-2025 18:23:08","2025-06-05 18:23:08","05-Jun-2025 18:23:09","00:00:01","https://nsearchives.nseindia.com/corporate/KIMS_05062025182255_Intimation_new.pdf","276 KB"
"XPROINDIA","Xpro India Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Xpro India Limited has informed the Exchange about Transcript","05-Jun-2025 18:22:39","2025-06-05 18:22:39","05-Jun-2025 18:22:40","00:00:01","https://nsearchives.nseindia.com/corporate/XPROINDIA_05062025182225_Cocnall_Transcript_signed.pdf","539 KB"
"CANBK","Canara Bank","Trading Window","Canara Bank has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","05-Jun-2025 18:21:38","2025-06-05 18:21:38","05-Jun-2025 18:21:40","00:00:02","https://nsearchives.nseindia.com/corporate/CANBK_05062025182109_COTW.pdf","164 KB"
"UNIONBANK","Union Bank of India","Analysts/Institutional Investor Meet/Con. Call Updates","Union Bank of India has informed the Exchange about Schedule of meet","05-Jun-2025 18:21:03","2025-06-05 18:21:03","05-Jun-2025 18:21:04","00:00:01","https://nsearchives.nseindia.com/corporate/UNIONBANK_05062025182021_Schedule_Analyst_Meet_11062025_NSE_BSE.pdf","310 KB"
"ICRA","ICRA Limited","Analysts/Institutional Investor Meet/Con. Call Updates","ICRA Limited has informed the Exchange about Transcript","05-Jun-2025 18:19:40","2025-06-05 18:19:40","05-Jun-2025 18:19:41","00:00:01","https://nsearchives.nseindia.com/corporate/ICRA_05062025181904_BSER3005062025.pdf","428 KB"
"UNIONBANK","Union Bank of India","Analysts/Institutional Investor Meet/Con. Call Updates","Union Bank of India has informed the Exchange about Schedule of meet","05-Jun-2025 18:19:26","2025-06-05 18:19:26","05-Jun-2025 18:19:28","00:00:02","https://nsearchives.nseindia.com/corporate/UNIONBANK_05062025181753_Schedule_Analyst_Meet_10062025_NSE_BSE.pdf","310 KB"
"ARVSMART","Arvind SmartSpaces Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Arvind SmartSpaces Limited has informed the Exchange about Schedule of meet","05-Jun-2025 18:19:16","2025-06-05 18:19:16","05-Jun-2025 18:19:17","00:00:01","https://nsearchives.nseindia.com/corporate/539301_05062025181910_IntimationScheduleOfAnalystMeet05062025.pdf","279 KB"
"AHLUCONT","Ahluwalia Contracts (India) Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Ahluwalia Contracts (India) Limited has informed the Exchange about Transcript","05-Jun-2025 18:18:50","2025-06-05 18:18:50","05-Jun-2025 18:18:51","00:00:01","https://nsearchives.nseindia.com/corporate/532811_05062025181840_Transcript_June_2025.pdf","440 KB"
"SANATHAN","Sanathan Textiles Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Sanathan Textiles Limited has informed the Exchange about Schedule of meet of an Institutional Investors on June 10, 2025.","05-Jun-2025 18:18:34","2025-06-05 18:18:34","05-Jun-2025 18:18:35","00:00:01","https://nsearchives.nseindia.com/corporate/SANATHAN_05062025181813_STL_Investors_Meet.pdf","337 KB"
